"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 23 14:15:17 GMT 2021","Sat Oct 23 14:15:17 GMT 2021","656","","io.github.maximilianoalves.tests.login.tests.LoginTest","","io.github.maximilianoalves.tests.login.tests.LoginTest","naoDeveSerRealizadoUmDeleteNoLogin","naoDeveSerRealizadoUmDeleteNoLogin()","Não deve ser permitido realizar um DELETE no login."
"passed","Sat Oct 23 14:15:16 GMT 2021","Sat Oct 23 14:15:17 GMT 2021","670","","io.github.maximilianoalves.tests.login.tests.LoginTest","","io.github.maximilianoalves.tests.login.tests.LoginTest","deveRealizarOLoginComSenhaInvalida","deveRealizarOLoginComSenhaInvalida()","Deve realizar o login com senha inválida."
"passed","Sat Oct 23 14:15:01 GMT 2021","Sat Oct 23 14:15:01 GMT 2021","675","","io.github.maximilianoalves.tests.usuarios.tests.CadastrarUsuariosTest","","io.github.maximilianoalves.tests.usuarios.tests.CadastrarUsuariosTest","deveCadastrarUsuarioAdministradorNomeEmBranco","deveCadastrarUsuarioAdministradorNomeEmBranco()","Deve cadastrar um usuário administrador nome em branco"
"passed","Sat Oct 23 14:15:02 GMT 2021","Sat Oct 23 14:15:04 GMT 2021","1418","","io.github.maximilianoalves.tests.usuarios.tests.ExcluirUsuariosTest","","io.github.maximilianoalves.tests.usuarios.tests.ExcluirUsuariosTest","excluirUsuarioNaoAdministradorComSucesso","excluirUsuarioNaoAdministradorComSucesso()","Excluir um usuário não administrador com sucesso."
"passed","Sat Oct 23 14:15:01 GMT 2021","Sat Oct 23 14:15:02 GMT 2021","688","","io.github.maximilianoalves.tests.usuarios.tests.CadastrarUsuariosTest","","io.github.maximilianoalves.tests.usuarios.tests.CadastrarUsuariosTest","deveCadastrarUsuarioNaoAdministradorComSucesso","deveCadastrarUsuarioNaoAdministradorComSucesso()","Deve cadastrar um usuário não administrador com sucesso"
"passed","Sat Oct 23 14:15:12 GMT 2021","Sat Oct 23 14:15:12 GMT 2021","654","","io.github.maximilianoalves.tests.produtos.tests.ListarProdutosTest","","io.github.maximilianoalves.tests.produtos.tests.ListarProdutosTest","deveValidarSchemaListarProdutos","deveValidarSchemaListarProdutos()","Deve validar o schema json da lista de produtos."
"passed","Sat Oct 23 14:14:56 GMT 2021","Sat Oct 23 14:14:59 GMT 2021","3338","","io.github.maximilianoalves.tests.usuarios.tests.CadastrarUsuariosTest","","io.github.maximilianoalves.tests.usuarios.tests.CadastrarUsuariosTest","deveCadastrarUsuarioAdministradorComSucesso","deveCadastrarUsuarioAdministradorComSucesso()","Deve cadastrar um usuário administrador com sucesso"
"passed","Sat Oct 23 14:14:59 GMT 2021","Sat Oct 23 14:15:00 GMT 2021","676","","io.github.maximilianoalves.tests.usuarios.tests.CadastrarUsuariosTest","","io.github.maximilianoalves.tests.usuarios.tests.CadastrarUsuariosTest","deveCadastrarUsuarioAdministradorEmailEmBranco","deveCadastrarUsuarioAdministradorEmailEmBranco()","Deve cadastrar um usuário administrador email em branco"
"passed","Sat Oct 23 14:15:10 GMT 2021","Sat Oct 23 14:15:11 GMT 2021","656","","io.github.maximilianoalves.tests.usuarios.tests.ListarUsuariosTest","","io.github.maximilianoalves.tests.usuarios.tests.ListarUsuariosTest","deveListarUsuariosNaoAdministradoresComSucesso","deveListarUsuariosNaoAdministradoresComSucesso()","Deve listar os usuários não administradores com sucesso."
"passed","Sat Oct 23 14:15:07 GMT 2021","Sat Oct 23 14:15:09 GMT 2021","1373","","io.github.maximilianoalves.tests.usuarios.tests.ListarUsuariosTest","","io.github.maximilianoalves.tests.usuarios.tests.ListarUsuariosTest","deveValidarSchemaUsuarioUtilizandoId","deveValidarSchemaUsuarioUtilizandoId()","Deve validar o schema json de um usuário utilizando o ID"
"passed","Sat Oct 23 14:15:18 GMT 2021","Sat Oct 23 14:15:19 GMT 2021","682","","io.github.maximilianoalves.tests.login.tests.LoginTest","","io.github.maximilianoalves.tests.login.tests.LoginTest","naoDeveSerRealizadoUmPutNoLogin","naoDeveSerRealizadoUmPutNoLogin()","Não deve ser permitido realizar um PUT no login."
"passed","Sat Oct 23 14:15:06 GMT 2021","Sat Oct 23 14:15:07 GMT 2021","1139","","io.github.maximilianoalves.tests.usuarios.tests.ListarUsuariosTest","","io.github.maximilianoalves.tests.usuarios.tests.ListarUsuariosTest","deveValidarSchemaListaUsuarios","deveValidarSchemaListaUsuarios()","Deve validar o schema json da lista de usuários"
"passed","Sat Oct 23 14:15:09 GMT 2021","Sat Oct 23 14:15:10 GMT 2021","1321","","io.github.maximilianoalves.tests.usuarios.tests.ListarUsuariosTest","","io.github.maximilianoalves.tests.usuarios.tests.ListarUsuariosTest","deveListarUsuarioUtilizandoId","deveListarUsuarioUtilizandoId()","Deve listar um usuário utilizando o ID"
"passed","Sat Oct 23 14:15:04 GMT 2021","Sat Oct 23 14:15:05 GMT 2021","1355","","io.github.maximilianoalves.tests.usuarios.tests.ExcluirUsuariosTest","","io.github.maximilianoalves.tests.usuarios.tests.ExcluirUsuariosTest","excluirUsuarioAdministradorComSucesso","excluirUsuarioAdministradorComSucesso()","Excluir um usuário administrador com sucesso."
"passed","Sat Oct 23 14:15:00 GMT 2021","Sat Oct 23 14:15:01 GMT 2021","664","","io.github.maximilianoalves.tests.usuarios.tests.CadastrarUsuariosTest","","io.github.maximilianoalves.tests.usuarios.tests.CadastrarUsuariosTest","deveCadastrarUsuarioAdministradorSenhaEmBranco","deveCadastrarUsuarioAdministradorSenhaEmBranco()","Deve cadastrar um usuário administrador senha em branco"
"passed","Sat Oct 23 14:15:15 GMT 2021","Sat Oct 23 14:15:16 GMT 2021","656","","io.github.maximilianoalves.tests.login.tests.LoginTest","","io.github.maximilianoalves.tests.login.tests.LoginTest","deveRealizarOLoginComEmailInvalido","deveRealizarOLoginComEmailInvalido()","Deve realizar o login com email inválido."
